Symbol,Name,Price,Change,% Change,Volume,Avg Vol (3 month),Market Cap
AMC,"AMC Entertainment Holdings, Inc.",8.30,+0.68,+9.00%,40.576M,35.4M,4.258B
TSLA,"Tesla, Inc.",206.87,-0.76,-0.37%,37.56M,172.152M,654.557B
APE,"AMC Entertainment Holdings, Inc.",1.9515,-0.0985,-4.80%,14.172M,34.286M,4.193B
NCLH,Norwegian Cruise Line Holdings Ltd.,14.78,-1.72,-10.39%,12.696M,13.059M,6.23B
NIO,NIO Inc.,9.18,-0.15,-1.66%,12.012M,49.248M,15.941B
META,"Meta Platforms, Inc.",175.62,+6.08,+3.59%,11.449M,32.67M,455.319B
AMD,"Advanced Micro Devices, Inc.",78.59,-0.18,-0.23%,10.39M,56.931M,126.715B
CCL,Carnival Corporation & plc,10.40,-0.43,-3.97%,8.802M,42.156M,13.516B
RLLCF,Rolls-Royce Holdings plc,0.0140,+0.0021,+17.65%,8.042M,2.294M,305.21B
AAPL,Apple Inc.,147.65,-0.27,-0.18%,8.219M,74.926M,2.336T
NVDA,NVIDIA Corporation,234.71,-0.30,-0.13%,7.857M,47.865M,584.897B
ZM,"Zoom Video Communications, Inc.",74.20,+0.48,+0.65%,7.594M,3.591M,21.69B
RNECY,Renesas Electronics Corporation,6.49,+0.09,+1.41%,7.447M,"161,186",23.68B
AMZN,"Amazon.com, Inc.",93.32,-0.44,-0.47%,7.091M,74.765M,956.227B
SNAP,Snap Inc.,10.06,+0.18,+1.87%,6.791M,32.148M,15.916B
KDP,Keurig Dr Pepper Inc.,34.70,-0.67,-1.89%,6.642M,6.933M,48.804B
BABA,Alibaba Group Holding Limited,88.98,-0.27,-0.30%,6.338M,22.007M,237.491B
F,Ford Motor Company,12.10,+0.04,+0.33%,6.435M,59.456M,48.233B
LUMN,"Lumen Technologies, Inc.",3.4350,+0.0350,+1.03%,6.165M,28.055M,3.554B
PFE,Pfizer Inc.,40.35,-0.43,-1.06%,5.82M,22.483M,226.727B
OXY,Occidental Petroleum Corporation,60.13,+1.17,+1.98%,5.707M,11.735M,54.653B
INTC,Intel Corporation,24.83,-0.07,-0.28%,5.411M,41.401M,102.722B
LAZR,"Luminar Technologies, Inc.",8.86,-0.01,-0.07%,5.276M,10.396M,3.215B
